iter	Logloss
335	0.4009782375
336	0.4009765345
337	0.4009756067
338	0.4008595543
339	0.4008421684
340	0.40081889
341	0.4008073854
342	0.4007658248
343	0.4007556423
344	0.4007526583
345	0.4007370385
346	0.4007369866
347	0.4007369497
348	0.4007354696
349	0.4007324675
350	0.4007312928
351	0.4007311769
352	0.4007307396
353	0.4007306618
354	0.4007103865
355	0.4007097436
356	0.4006983232
357	0.4006732013
358	0.4006637154
359	0.4006472466
360	0.4006467119
361	0.4006254862
362	0.4006073104
363	0.4005912524
364	0.4005912458
365	0.4005911591
366	0.4005904175
367	0.4005885792
368	0.4005791788
369	0.400562672
370	0.4005467888
371	0.4005396256
372	0.4005132086
373	0.4005128075
374	0.4004965043
375	0.4004964827
376	0.4004794768
377	0.4004764576
378	0.4004764285
379	0.4004764285
380	0.4004691966
381	0.4004650985
382	0.4004628602
383	0.4004451864
384	0.4004388293
385	0.400416727
386	0.4004077001
387	0.4003719367
388	0.4003363915
389	0.4003269544
390	0.4002405109
391	0.4002315134
392	0.400214227
393	0.4001905763
394	0.4001898844
395	0.4001884488
396	0.4001744628
397	0.4001600754
398	0.400160075
399	0.4001512824
